MonthYear,Month,Year,Role,Source,Stage,Candidates
3/2016,3,2016,Engineering,HireUp,"Final Onsite",0
3/2016,3,2016,Engineering,HireUp,Offer,0
3/2016,3,2016,Engineering,HireUp,Accept,0
3/2016,3,2016,Engineering,HireUp,Decline,0
3/2016,3,2016,Engineering,Conferences,"All Applicants",0
3/2016,3,2016,Engineering,Conferences,"Phone Screen",0
3/2016,3,2016,Engineering,Conferences,Onsite,0
3/2016,3,2016,Engineering,Conferences,"Final Onsite",0
3/2016,3,2016,Engineering,Conferences,Offer,0
3/2016,3,2016,Engineering,Conferences,Accept,0
3/2016,3,2016,Engineering,Conferences,Decline,0
3/2016,3,2016,CSM,Referral,"All Applicants",0
3/2016,3,2016,CSM,Referral,"Phone Screen",0
3/2016,3,2016,CSM,Referral,Onsite,0
3/2016,3,2016,CSM,Referral,"Final Onsite",0
3/2016,3,2016,CSM,Referral,Offer,0
3/2016,3,2016,CSM,Referral,Accept,0
3/2016,3,2016,CSM,Referral,Decline,0
3/2016,3,2016,CSM,"Angel List","All Applicants",7
3/2016,3,2016,CSM,"Angel List","Phone Screen",1
3/2016,3,2016,CSM,"Angel List",Onsite,1
3/2016,3,2016,CSM,"Angel List","Final Onsite",1
3/2016,3,2016,CSM,"Angel List",Offer,0
3/2016,3,2016,CSM,"Angel List",Accept,0
3/2016,3,2016,CSM,"Angel List",Decline,0
3/2016,3,2016,CSM,"Career Site","All Applicants",32
3/2016,3,2016,CSM,"Career Site","Phone Screen",1
3/2016,3,2016,CSM,"Career Site",Onsite,0
3/2016,3,2016,CSM,"Career Site","Final Onsite",0
3/2016,3,2016,CSM,"Career Site",Offer,0
3/2016,3,2016,CSM,"Career Site",Accept,0
3/2016,3,2016,CSM,"Career Site",Decline,0
3/2016,3,2016,CSM,Outreach,"All Applicants",0
3/2016,3,2016,CSM,Outreach,"Phone Screen",0
3/2016,3,2016,CSM,Outreach,Onsite,0
3/2016,3,2016,CSM,Outreach,"Final Onsite",0
3/2016,3,2016,CSM,Outreach,Offer,0
3/2016,3,2016,CSM,Outreach,Accept,0
3/2016,3,2016,CSM,Outreach,Decline,0
3/2016,3,2016,CSM,Hired,"All Applicants",0
3/2016,3,2016,CSM,Hired,"Phone Screen",0
3/2016,3,2016,CSM,Hired,Onsite,0
3/2016,3,2016,CSM,Hired,"Final Onsite",0
3/2016,3,2016,CSM,Hired,Offer,0
3/2016,3,2016,CSM,Hired,Accept,0
3/2016,3,2016,CSM,Hired,Decline,0
3/2016,3,2016,CSM,Gogohire,"All Applicants",2
3/2016,3,2016,CSM,Gogohire,"Phone Screen",2
3/2016,3,2016,CSM,Gogohire,Onsite,0
3/2016,3,2016,CSM,Gogohire,"Final Onsite",0
3/2016,3,2016,CSM,Gogohire,Offer,0
3/2016,3,2016,CSM,Gogohire,Accept,0
3/2016,3,2016,CSM,Gogohire,Decline,0
3/2016,3,2016,CSM,HireUp,"All Applicants",0
3/2016,3,2016,CSM,HireUp,"Phone Screen",0
3/2016,3,2016,CSM,HireUp,Onsite,0
3/2016,3,2016,CSM,HireUp,"Final Onsite",0
3/2016,3,2016,CSM,HireUp,Offer,0
3/2016,3,2016,CSM,HireUp,Accept,0
3/2016,3,2016,CSM,HireUp,Decline,0
3/2016,3,2016,CSM,Conferences,"All Applicants",0
3/2016,3,2016,CSM,Conferences,"Phone Screen",0
3/2016,3,2016,CSM,Conferences,Onsite,0
3/2016,3,2016,CSM,Conferences,"Final Onsite",0
3/2016,3,2016,CSM,Conferences,Offer,0
3/2016,3,2016,CSM,Conferences,Accept,0
3/2016,3,2016,CSM,Conferences,Decline,0
3/2016,3,2016,Interns,Referral,"All Applicants",0
3/2016,3,2016,Interns,Referral,"Phone Screen",0
3/2016,3,2016,Interns,Referral,Onsite,0
3/2016,3,2016,Interns,Referral,"Final Onsite",0
3/2016,3,2016,Interns,Referral,Offer,0
3/2016,3,2016,Interns,Referral,Accept,0
3/2016,3,2016,Interns,Referral,Decline,0
3/2016,3,2016,Interns,"Angel List","All Applicants",0
3/2016,3,2016,Interns,"Angel List","Phone Screen",0
3/2016,3,2016,Interns,"Angel List",Onsite,0
3/2016,3,2016,Interns,"Angel List","Final Onsite",0
3/2016,3,2016,Interns,"Angel List",Offer,0
3/2016,3,2016,Interns,"Angel List",Accept,0
3/2016,3,2016,Interns,"Angel List",Decline,0
3/2016,3,2016,Interns,"Career Site","All Applicants",0
3/2016,3,2016,Interns,"Career Site","Phone Screen",0
3/2016,3,2016,Interns,"Career Site",Onsite,0
3/2016,3,2016,Interns,"Career Site","Final Onsite",0
3/2016,3,2016,Interns,"Career Site",Offer,0
3/2016,3,2016,Interns,"Career Site",Accept,0
3/2016,3,2016,Interns,"Career Site",Decline,0
3/2016,3,2016,Interns,Outreach,"All Applicants",0
3/2016,3,2016,Interns,Outreach,"Phone Screen",0
3/2016,3,2016,Interns,Outreach,Onsite,0
3/2016,3,2016,Interns,Outreach,"Final Onsite",0
3/2016,3,2016,Interns,Outreach,Offer,0
3/2016,3,2016,Interns,Outreach,Accept,0
3/2016,3,2016,Interns,Outreach,Decline,0
3/2016,3,2016,Interns,Hired,"All Applicants",0
3/2016,3,2016,Interns,Hired,"Phone Screen",0
3/2016,3,2016,Interns,Hired,Onsite,0
3/2016,3,2016,Interns,Hired,"Final Onsite",0
3/2016,3,2016,Interns,Hired,Offer,0
3/2016,3,2016,Interns,Hired,Accept,0
3/2016,3,2016,Interns,Hired,Decline,0
3/2016,3,2016,Interns,Gogohire,"All Applicants",0
3/2016,3,2016,Interns,Gogohire,"Phone Screen",0
3/2016,3,2016,Interns,Gogohire,Onsite,0
3/2016,3,2016,Interns,Gogohire,"Final Onsite",0
3/2016,3,2016,Interns,Gogohire,Offer,0
3/2016,3,2016,Interns,Gogohire,Accept,0
3/2016,3,2016,Interns,Gogohire,Decline,0
3/2016,3,2016,Interns,HireUp,"All Applicants",0
3/2016,3,2016,Interns,HireUp,"Phone Screen",0
3/2016,3,2016,Interns,HireUp,Onsite,0
3/2016,3,2016,Interns,HireUp,"Final Onsite",0
3/2016,3,2016,Interns,HireUp,Offer,0
3/2016,3,2016,Interns,HireUp,Accept,0
3/2016,3,2016,Interns,HireUp,Decline,0
3/2016,3,2016,Interns,Conferences,"All Applicants",0
3/2016,3,2016,Interns,Conferences,"Phone Screen",0
3/2016,3,2016,Interns,Conferences,Onsite,0
3/2016,3,2016,Interns,Conferences,"Final Onsite",0
3/2016,3,2016,Interns,Conferences,Offer,0
3/2016,3,2016,Interns,Conferences,Accept,0
3/2016,3,2016,Interns,Conferences,Decline,0
2/2016,2,2016,Sales,Referral,"All Applicants",2
2/2016,2,2016,Sales,Referral,"Phone Screen",2
2/2016,2,2016,Sales,Referral,Onsite,1
2/2016,2,2016,Sales,Referral,"Final Onsite",1
2/2016,2,2016,Sales,Referral,Offer,0
